stage,architecture_name,architecture_shape,train_fraction,learning_rate,init_seed,split_seed,max_power,batch_size,train_samples,test_samples,final_step,best_step,final_loss,best_loss,final_accuracy,best_accuracy,elapsed_seconds
architecture_screen,tiny_shallow,4 -> 1,0.8,0.01,11,22,14,256,14320,3578,16384,16384,0.03269911173762735,0.03269911173762735,0.9700950251537171,0.9700950251537171,1.0071529590059072
architecture_screen,small_shallow,8 -> 1,0.8,0.01,11,22,14,256,14320,3578,16384,16384,0.025624201761152553,0.025624201761152553,0.9714924538848518,0.9714924538848518,1.0986677079927176
architecture_screen,medium_shallow,32 -> 1,0.8,0.01,11,22,14,256,14320,3578,16384,16384,0.0228360920123539,0.0228360920123539,0.9720514253773057,0.9720514253773057,2.4340064160060138
architecture_screen,medium_tapered,32 -> 16 -> 1,0.8,0.01,11,22,14,256,14320,3578,16384,16384,0.02773465178994162,0.02773465178994162,0.970653996646171,0.970653996646171,3.7242212081328034
architecture_screen,medium_flat_deep,16 -> 16 -> 16 -> 1,0.8,0.01,11,22,14,256,14320,3578,16384,16384,0.06923466748863974,0.06923466748863974,0.9086081609837898,0.9086081609837898,3.8825574999209493
architecture_screen,wide_tapered,64 -> 32 -> 1,0.8,0.01,11,22,14,256,14320,3578,16384,16384,0.024611528526960372,0.024611528526960372,0.9723309111235326,0.9723309111235326,6.46634995797649
architecture_screen,wide_flat_deep,32 -> 32 -> 32 -> 1,0.8,0.01,11,22,14,256,14320,3578,16384,16384,0.07174621001578861,0.07174621001578861,0.9086081609837898,0.9086081609837898,6.794364416971803
architecture_screen,wide_tapered_deep,64 -> 32 -> 16 -> 1,0.8,0.01,11,22,14,256,14320,3578,16384,16384,0.05538572449881818,0.05538572449881818,0.9086081609837898,0.9086081609837898,7.228869749931619
architecture_screen,bottleneck,64 -> 16 -> 64 -> 1,0.8,0.01,11,22,14,256,14320,3578,16384,16384,0.06424922887619876,0.06424922887619876,0.9086081609837898,0.9086081609837898,8.309089665999636
architecture_screen,large_tapered,128 -> 128 -> 64 -> 8 -> 1,0.8,0.01,11,22,14,256,14320,3578,16384,16384,0.07980750808286859,0.07980750808286859,0.9086081609837898,0.9086081609837898,17.926907915854827
architecture_screen,very large tapered,256 -> 128 -> 64 -> 8 -> 1,0.8,0.01,11,22,14,256,14320,3578,16384,16384,0.08131136225469002,0.08131136225469002,0.9086081609837898,0.9086081609837898,23.35903854202479
architecture_confirm,small_shallow,8 -> 1,0.8,0.01,11,22,15,256,14320,3578,32768,32768,0.02302750945162042,0.02302750945162042,0.9740078256008944,0.9740078256008944,2.7493008750025183
architecture_confirm,small_shallow,8 -> 1,0.8,0.01,23,22,15,256,14320,3578,32768,32768,0.024935966337311277,0.024935966337311277,0.9712129681386249,0.9712129681386249,2.436327791074291
architecture_confirm,medium_shallow,32 -> 1,0.8,0.01,11,22,15,256,14320,3578,32768,32768,0.021903598608393922,0.021903598608393922,0.9745667970933483,0.9745667970933483,5.839677625102922
architecture_confirm,medium_shallow,32 -> 1,0.8,0.01,47,22,15,256,14320,3578,32768,32768,0.02252890260683929,0.02252890260683929,0.9731693683622136,0.9731693683622136,5.896193083142862
architecture_confirm,medium_shallow,32 -> 1,0.8,0.01,23,22,15,256,14320,3578,32768,32768,0.022282405292855936,0.022282405292855936,0.9731693683622136,0.9731693683622136,6.014033167157322
architecture_confirm,small_shallow,8 -> 1,0.8,0.01,47,22,15,256,14320,3578,32768,32768,0.028885483180156237,0.028885483180156237,0.9698155394074902,0.9698155394074902,2.326213583117351
architecture_confirm,medium_tapered,32 -> 16 -> 1,0.8,0.01,11,22,15,256,14320,3578,32768,32768,0.023076783817365703,0.023076783817365703,0.9731693683622136,0.9731693683622136,7.717471707845107
architecture_confirm,medium_tapered,32 -> 16 -> 1,0.8,0.01,23,22,15,256,14320,3578,32768,32768,0.023019127367694427,0.023019127367694427,0.9723309111235326,0.9723309111235326,7.728454083902761
architecture_confirm,medium_tapered,32 -> 16 -> 1,0.8,0.01,47,22,15,256,14320,3578,32768,32768,0.022954412306894947,0.022954412306894947,0.9737283398546674,0.9737283398546674,7.639839416835457
architecture_confirm,wide_tapered,64 -> 32 -> 1,0.8,0.01,23,22,15,256,14320,3578,32768,32768,0.022971305277654872,0.022971305277654872,0.9723309111235326,0.9723309111235326,14.049986166879535
architecture_confirm,wide_tapered,64 -> 32 -> 1,0.8,0.01,47,22,15,256,14320,3578,32768,32768,0.02237502105456703,0.02237502105456703,0.9734488541084405,0.9734488541084405,14.055921333143488
architecture_confirm,wide_tapered,64 -> 32 -> 1,0.8,0.01,11,22,15,256,14320,3578,32768,32768,0.022681351823529674,0.022681351823529674,0.9726103968697597,0.9726103968697597,14.115670457948
train_split,medium_shallow,32 -> 1,0.7,0.01,11,22,15,256,12530,5368,32768,32768,0.02068245803960055,0.02068245803960055,0.9757824143070045,0.9757824143070045,5.770449458854273
