stage,architecture_name,architecture_shape,train_fraction,learning_rate,init_seed,split_seed,max_power,batch_size,train_samples,test_samples,final_step,best_step,final_loss,best_loss,final_accuracy,best_accuracy,elapsed_seconds
architecture_screen,tiny_shallow,4 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.03307997319821197,0.03307997319821197,0.9686975964225825,0.9686975964225825,0.9062475410755724
architecture_screen,small_shallow,8 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.026096356745820268,0.026096356745820268,0.9689770821688094,0.9689770821688094,1.0561947501264513
architecture_screen,medium_shallow,32 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.023654417580042993,0.023654417580042993,0.9698155394074902,0.9698155394074902,2.484630333026871
architecture_screen,medium_tapered,32 -> 16 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.027206700229580855,0.027206700229580855,0.9692565679150363,0.9692565679150363,3.5710121251177043
architecture_screen,medium_flat_deep,16 -> 16 -> 16 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.06880351107788166,0.06880351107788166,0.9086081609837898,0.9086081609837898,3.674035874893889
architecture_screen,wide_tapered,64 -> 32 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.02530840960141505,0.02530840960141505,0.9712129681386249,0.9712129681386249,6.409556458005682
architecture_screen,wide_flat_deep,32 -> 32 -> 32 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.07145897346627406,0.07145897346627406,0.9086081609837898,0.9086081609837898,6.84048283402808
architecture_screen,wide_tapered_deep,64 -> 32 -> 16 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.054317915397061704,0.054317915397061704,0.9086081609837898,0.9086081609837898,7.31192999985069
architecture_screen,bottleneck,64 -> 16 -> 64 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.06356608926097253,0.06356608926097253,0.9086081609837898,0.9086081609837898,8.430923457955942
architecture_screen,large_tapered,128 -> 128 -> 64 -> 8 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.07972275226025251,0.07972275226025251,0.9086081609837898,0.9086081609837898,17.50571854109876
architecture_screen,very large tapered,256 -> 128 -> 64 -> 8 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.08127621533277189,0.08127621533277189,0.9086081609837898,0.9086081609837898,23.00777216721326
architecture_confirm,medium_shallow,32 -> 1,0.8,0.01,23,20260407,15,256,14320,3578,32768,8192,0.023195011729316505,0.02527257686181068,0.9700950251537171,0.970933482392398,5.69362008292228
architecture_confirm,medium_shallow,32 -> 1,0.8,0.01,11,20260407,15,256,14320,3578,32768,32768,0.022543491373277658,0.022543491373277658,0.9703745108999441,0.9703745108999441,5.757511832984164
architecture_confirm,medium_shallow,32 -> 1,0.8,0.01,47,20260407,15,256,14320,3578,32768,16384,0.022967816699516367,0.024504814248939584,0.9703745108999441,0.970653996646171,5.914887082995847
architecture_confirm,medium_tapered,32 -> 16 -> 1,0.8,0.01,11,20260407,15,256,14320,3578,32768,32768,0.02368469801941208,0.02368469801941208,0.9703745108999441,0.9703745108999441,8.71591362496838
architecture_confirm,small_shallow,8 -> 1,0.8,0.01,11,20260407,15,256,14320,3578,32768,32768,0.02403177739106874,0.02403177739106874,0.9703745108999441,0.9703745108999441,2.8166049590799958
architecture_confirm,small_shallow,8 -> 1,0.8,0.01,47,20260407,15,256,14320,3578,32768,32768,0.02902175638412794,0.02902175638412794,0.9698155394074902,0.9698155394074902,2.7804111251607537
architecture_confirm,small_shallow,8 -> 1,0.8,0.01,23,20260407,15,256,14320,3578,32768,32768,0.02632649231860357,0.02632649231860357,0.9681386249301286,0.9681386249301286,2.8426242501009256
architecture_confirm,medium_tapered,32 -> 16 -> 1,0.8,0.01,47,20260407,15,256,14320,3578,32768,32768,0.02403328195694041,0.02403328195694041,0.9700950251537171,0.9700950251537171,8.468338374979794
architecture_confirm,medium_tapered,32 -> 16 -> 1,0.8,0.01,23,20260407,15,256,14320,3578,32768,32768,0.023666404820951316,0.023666404820951316,0.9703745108999441,0.9703745108999441,8.579869375098497
architecture_confirm,wide_tapered,64 -> 32 -> 1,0.8,0.01,47,20260407,15,256,14320,3578,32768,16384,0.02310268132633464,0.02482802596411289,0.970653996646171,0.9714924538848518,14.800606832839549
architecture_confirm,wide_tapered,64 -> 32 -> 1,0.8,0.01,23,20260407,15,256,14320,3578,32768,32768,0.023446499335698767,0.023446499335698767,0.9714924538848518,0.9714924538848518,14.855918833054602
architecture_confirm,wide_tapered,64 -> 32 -> 1,0.8,0.01,11,20260407,15,256,14320,3578,32768,16384,0.023419417745083118,0.02530840960141505,0.970653996646171,0.9712129681386249,14.86636475007981
train_split,wide_tapered,64 -> 32 -> 1,0.6,0.01,23,20260407,15,256,10740,7158,32768,32768,0.021587830839213642,0.021587830839213642,0.9735959765297569,0.9735959765297569,16.492685915902257
train_split,wide_tapered,64 -> 32 -> 1,0.7,0.01,23,20260407,15,256,12530,5368,32768,32768,0.022772252303832702,0.022772252303832702,0.9724292101341282,0.9724292101341282,16.650473000016063
train_split,wide_tapered,64 -> 32 -> 1,0.6,0.01,47,20260407,15,256,10740,7158,32768,16384,0.021280361364381814,0.022897376932064405,0.9735959765297569,0.9745739033249511,16.71711983392015
train_split,wide_tapered,64 -> 32 -> 1,0.7,0.01,47,20260407,15,256,12530,5368,32768,32768,0.022523373626180794,0.022523373626180794,0.9718703427719821,0.9718703427719821,16.80075954203494
train_split,wide_tapered,64 -> 32 -> 1,0.7,0.01,11,20260407,15,256,12530,5368,32768,32768,0.02276870094995676,0.02276870094995676,0.9724292101341282,0.9724292101341282,16.82126108300872
train_split,wide_tapered,64 -> 32 -> 1,0.75,0.01,11,20260407,15,256,13425,4473,32768,32768,0.022424024275166057,0.022424024275166057,0.9725016767270288,0.9725016767270288,16.82848766609095
train_split,wide_tapered,64 -> 32 -> 1,0.6,0.01,11,20260407,15,256,10740,7158,32768,16384,0.021602834403702573,0.023588566112976394,0.9734562727018721,0.9738753841855267,16.957094624871388
train_split,wide_tapered,64 -> 32 -> 1,0.75,0.01,23,20260407,15,256,13425,4473,32768,32768,0.022445526663154334,0.022445526663154334,0.9720545495193382,0.9720545495193382,18.222768292063847
