stage,architecture_name,architecture_shape,train_fraction,learning_rate,init_seed,split_seed,max_power,batch_size,train_samples,test_samples,final_step,best_step,final_loss,best_loss,final_accuracy,best_accuracy,elapsed_seconds
architecture_screen,tiny_shallow,4 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.03307997319821197,0.03307997319821197,0.9686975964225825,0.9686975964225825,0.8458375830668956
architecture_screen,small_shallow,8 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.026096356745820268,0.026096356745820268,0.9689770821688094,0.9689770821688094,0.9203003330621868
architecture_screen,medium_shallow,32 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.023654417580042993,0.023654417580042993,0.9698155394074902,0.9698155394074902,2.217195250093937
architecture_screen,medium_flat_deep,16 -> 16 -> 16 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.06880351107788166,0.06880351107788166,0.9086081609837898,0.9086081609837898,3.263054749928415
architecture_screen,medium_tapered,32 -> 16 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.027206700229580855,0.027206700229580855,0.9692565679150363,0.9692565679150363,3.3411085000261664
architecture_screen,wide_flat_deep,32 -> 32 -> 32 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.07145897346627406,0.07145897346627406,0.9086081609837898,0.9086081609837898,7.2316034159157425
architecture_screen,wide_tapered,64 -> 32 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.02530840960141505,0.02530840960141505,0.9712129681386249,0.9712129681386249,6.964616667013615
architecture_screen,wide_tapered_deep,64 -> 32 -> 16 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.054317915397061704,0.054317915397061704,0.9086081609837898,0.9086081609837898,8.24271637503989
architecture_screen,bottleneck,64 -> 16 -> 64 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.06356608926097253,0.06356608926097253,0.9086081609837898,0.9086081609837898,9.172126249875873
architecture_screen,large_tapered,128 -> 128 -> 64 -> 8 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.07972275226025251,0.07972275226025251,0.9086081609837898,0.9086081609837898,19.361024708952755
architecture_screen,very large tapered,256 -> 128 -> 64 -> 8 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.08127621533277189,0.08127621533277189,0.9086081609837898,0.9086081609837898,25.450147500028834
architecture_confirm,medium_shallow,32 -> 1,0.8,0.01,11,20260407,15,256,14320,3578,32768,32768,0.022543491373277658,0.022543491373277658,0.9703745108999441,0.9703745108999441,5.101504374993965
architecture_confirm,medium_shallow,32 -> 1,0.8,0.01,23,20260407,15,256,14320,3578,32768,8192,0.023195011729316505,0.02527257686181068,0.9700950251537171,0.970933482392398,5.177471416071057
architecture_confirm,medium_shallow,32 -> 1,0.8,0.01,47,20260407,15,256,14320,3578,32768,16384,0.022967816699516367,0.024504814248939584,0.9703745108999441,0.970653996646171,5.310535875149071
architecture_confirm,medium_tapered,32 -> 16 -> 1,0.8,0.01,23,20260407,15,256,14320,3578,32768,32768,0.023666404820951316,0.023666404820951316,0.9703745108999441,0.9703745108999441,7.371696959016845
architecture_confirm,medium_tapered,32 -> 16 -> 1,0.8,0.01,11,20260407,15,256,14320,3578,32768,32768,0.02368469801941208,0.02368469801941208,0.9703745108999441,0.9703745108999441,7.453119957819581
architecture_confirm,medium_tapered,32 -> 16 -> 1,0.8,0.01,47,20260407,15,256,14320,3578,32768,32768,0.02403328195694041,0.02403328195694041,0.9700950251537171,0.9700950251537171,7.479593666968867
architecture_confirm,wide_tapered,64 -> 32 -> 1,0.8,0.01,47,20260407,15,256,14320,3578,32768,16384,0.02310268132633464,0.02482802596411289,0.970653996646171,0.9714924538848518,13.176423833006993
architecture_confirm,wide_tapered,64 -> 32 -> 1,0.8,0.01,23,20260407,15,256,14320,3578,32768,32768,0.023446499335698767,0.023446499335698767,0.9714924538848518,0.9714924538848518,13.247629124904051
architecture_confirm,wide_tapered,64 -> 32 -> 1,0.8,0.01,11,20260407,15,256,14320,3578,32768,16384,0.023419417745083118,0.02530840960141505,0.970653996646171,0.9712129681386249,13.266816208139062
architecture_confirm,small_shallow,8 -> 1,0.8,0.01,11,20260407,15,256,14320,3578,32768,32768,0.02403177739106874,0.02403177739106874,0.9703745108999441,0.9703745108999441,1.8208227918948978
architecture_confirm,small_shallow,8 -> 1,0.8,0.01,23,20260407,15,256,14320,3578,32768,32768,0.02632649231860357,0.02632649231860357,0.9681386249301286,0.9681386249301286,1.8517848330084234
architecture_confirm,small_shallow,8 -> 1,0.8,0.01,47,20260407,15,256,14320,3578,32768,32768,0.02902175638412794,0.02902175638412794,0.9698155394074902,0.9698155394074902,1.7359652081504464
train_split,wide_tapered,64 -> 32 -> 1,0.6,0.01,47,20260407,15,256,10740,7158,32768,16384,0.021280361364381814,0.022897376932064405,0.9735959765297569,0.9745739033249511,14.229785541072488
train_split,wide_tapered,64 -> 32 -> 1,0.7,0.01,23,20260407,15,256,12530,5368,32768,32768,0.022772252303832702,0.022772252303832702,0.9724292101341282,0.9724292101341282,14.312236167024821
train_split,wide_tapered,64 -> 32 -> 1,0.6,0.01,23,20260407,15,256,10740,7158,32768,32768,0.021587830839213642,0.021587830839213642,0.9735959765297569,0.9735959765297569,14.352161208167672
train_split,wide_tapered,64 -> 32 -> 1,0.7,0.01,11,20260407,15,256,12530,5368,32768,32768,0.02276870094995676,0.02276870094995676,0.9724292101341282,0.9724292101341282,14.408399541862309
train_split,wide_tapered,64 -> 32 -> 1,0.6,0.01,11,20260407,15,256,10740,7158,32768,16384,0.021602834403702573,0.023588566112976394,0.9734562727018721,0.9738753841855267,14.547974624903873
train_split,wide_tapered,64 -> 32 -> 1,0.7,0.01,47,20260407,15,256,12530,5368,32768,32768,0.022523373626180794,0.022523373626180794,0.9718703427719821,0.9718703427719821,14.7276613751892
train_split,wide_tapered,64 -> 32 -> 1,0.75,0.01,23,20260407,15,256,13425,4473,32768,32768,0.022445526663154334,0.022445526663154334,0.9720545495193382,0.9720545495193382,14.59488600003533
train_split,wide_tapered,64 -> 32 -> 1,0.75,0.01,11,20260407,15,256,13425,4473,32768,32768,0.022424024275166057,0.022424024275166057,0.9725016767270288,0.9725016767270288,14.76095183310099
train_split,wide_tapered,64 -> 32 -> 1,0.8,0.01,11,20260407,15,256,14320,3578,32768,16384,0.023419417745083118,0.02530840960141505,0.970653996646171,0.9712129681386249,14.631124417064711
train_split,wide_tapered,64 -> 32 -> 1,0.75,0.01,47,20260407,15,256,13425,4473,32768,16384,0.022029786158714048,0.023688845629195533,0.9720545495193382,0.9727252403308742,14.79048716602847
train_split,wide_tapered,64 -> 32 -> 1,0.8,0.01,23,20260407,15,256,14320,3578,32768,32768,0.023446499335698767,0.023446499335698767,0.9714924538848518,0.9714924538848518,14.73596933321096
